+task_id,uuid,county,town,village,place_name,tai_class,tai_source_state,tai_source_annotator,tai_source_updated_at,hakka_review_count,hakka_review_assignees,active_audio_count,active_tai_audio_count,active_hakka_audio_count,sync_warning,source_synced_at,triage_category
"16778","LM00002","高雄市","三民區","安邦里","十全玉市","直接標注","待指派","","亮均分類表單同步 | 2026-06-23 11:33:39","1","","0","0","0","","2026-08-16 22:25:53.006+00","已有台語來源狀態但缺少台語review"
"16780","LM00004","高雄市","三民區","立德里","建國橋","直接標注","待審查","陳亮均","亮均分類表單同步 | 2026-06-23 11:33:39","1","","0","0","0","","2026-08-16 22:25:53.006+00","已有台語來源指派人但缺少台語review"
"16781","LM00005","高雄市","三民區","川東里","願景橋","直接標注","待審查","陳亮均","亮均分類表單同步 | 2026-06-23 11:33:39","1","","0","0","0","","2026-08-16 22:25:53.006+00","已有台語來源指派人但缺少台語review"
"16782","LM00007","高雄市","三民區","鼎金里","金獅湖","直接標注","待審查","陳亮均","亮均分類表單同步 | 2026-06-23 11:33:39","1","","0","0","0","","2026-08-16 22:25:53.007+00","已有台語來源指派人但缺少台語review"
"16786","LM00089","高雄市","仁武區","八卦里","上帝宮","直接標注","待指派","","亮均分類表單同步 | 2026-06-23 11:33:39","1","","0","0","0","","2026-08-16 22:25:53.007+00","已有台語來源狀態但缺少台語review"
"16787","LM00090","高雄市","仁武區","仁武里","福清宮","直接標注","待指派","","亮均分類表單同步 | 2026-06-23 11:33:39","1","","0","0","0","","2026-08-16 22:25:53.007+00","已有台語來源狀態但缺少台語review"
"16791","LM00118","高雄市","六龜區","六龜里","聖天宮","直接標注","待指派","","亮均分類表單同步 | 2026-06-23 11:33:39","1","","0","0","0","","2026-08-16 22:25:53.007+00","已有台語來源狀態但缺少台語review"
"16792","LM00122","高雄市","六龜區","義寶里","開元寺","直接標注","待指派","","亮均分類表單同步 | 2026-04-27 22:10:34","1","","0","0","0","","2026-08-16 22:25:53.007+00","已有台語來源狀態但缺少台語review"
"16795","LM00157","高雄市","前金區","新生里","七賢橋","直接標注","待審查","陳亮均","亮均分類表單同步 | 2026-06-23 11:33:39","1","","0","0","0","","2026-08-16 22:25:53.016+00","已有台語來源指派人但缺少台語review"
"16796","LM00160","高雄市","前金區","社西里","萬興宮","直接標注","待指派","","亮均分類表單同步 | 2026-06-23 11:33:39","1","","0","0","0","","2026-08-16 22:25:53.016+00","已有台語來源狀態但缺少台語review"
"16797","LM00161","高雄市","前金區","三川里","幸福川","直接標注","待審查","陳亮均","亮均分類表單同步 | 2026-06-23 11:33:39","1","","0","0","0","","2026-08-16 22:25:53.016+00","已有台語來源指派人但缺少台語review"
